seqno,configno,distance,medianpercid,medianeval,hits,fitnessScore
2121,1724,0,97.8835,0,2,88.94175
2124,1724,0,99.713,0,1,79.8565
2128,1724,0,100,0,1,80
2130,1724,0,95.726,0,1,77.863
2131,1724,0,100,0,1,80
2132,1724,0,100,0,1,80
2138,1724,0,100,0,1,80
2139,1724,0,100,0,1,80
2142,1724,0,100,0,1,80
2144,1724,0,100,0,1,80
2146,1724,0,100,0,1,80
2149,1724,0,100,0,1,80
2150,1724,0,100,0,1,80
2156,1724,0,100,0,1,80
2158,1724,0,99.846,0,1,79.923
2161,1724,0,100,0,1,80
2165,1724,0,99.706,0,1,79.853
2166,1724,0,100,0,1,80
2170,1724,0,100,0,1,80
2172,1724,0,100,0,1,80
2173,1724,0,100,0,1,80
2174,1724,0,100,0,2,90
2175,1724,0,100,0,1,80
2176,1724,0,100,0,1,80
2177,1724,0,100,0,1,80
2181,1724,0,100,0,1,80
2182,1724,0,99.709,0,1,79.8545
2183,1724,0,100,0,1,80
2187,1724,0,99.924,0,2,89.962
2189,1724,0,100,0,1,80
2190,1724,0,98.978,0,1,79.489
2203,1724,0,99.85,0,1,79.925
2204,1724,0,100,0,1,80
2206,1724,0,99.847,0,1,79.9235
2208,1724,0,100,0,1,80
2209,1724,0,100,0,1,80
2212,1724,0,99.705,0,1,79.8525
2215,1724,0,99.858,0,1,79.929
2217,1724,0,99.854,0,1,79.927
2218,1724,0,92.617,0,1,76.3085
2219,1724,0,100,0,1,80
2220,1724,0,100,0,1,80
2231,1724,0,99.848,0,1,79.924
2233,1724,0,100,0,2,90
2234,1724,0,93.13,0,1,76.565
2241,1724,0,100,0,1,80
2243,1724,0,100,0,1,80
2244,1724,0,99.8975,0,2,89.94875
2245,1724,0,100,0,1,80
2246,1724,0,100,0,1,80
2247,1724,0,100,0,1,80
2249,1724,0,100,0,1,80
2250,1724,0,100,0,1,80
2253,1724,0,100,0,1,80
2254,1724,0,100,0,1,80
2259,1724,0,100,0,2,90
2260,1724,0,100,0,1,80
2263,1724,0,100,0,1,80
2264,1724,0,99.829,0,1,79.9145
2275,1724,0,100,0,1,80
2277,1724,0,100,0,1,80
2279,1724,0,99.7,0,1,79.85
2283,1724,0,99.625,0,1,79.8125
2285,1724,0,100,0,1,80
2287,1724,0,100,0,1,80
2288,1724,0,100,0,1,80
2290,1724,0,100,0,1,80
2294,1724,0,100,0,1,80
2297,1724,0,99.84,0,1,79.92
2298,1724,0,96.532,0,1,78.266
2300,1724,0,100,0,1,80
2304,1724,0,100,0,1,80
2307,1724,0,100,0,1,80
2311,1724,0,97.403,0,1,78.7015
2312,1724,0,99.845,0,1,79.9225
2315,1724,0,100,0,1,80
2316,1724,0,99.849,0,1,79.9245
2317,1724,0,99.846,0,1,79.923
2318,1724,0,100,0,1,80
2320,1724,0,100,0,1,80
2324,1724,0,95.7865,0,2,87.89325
2327,1724,0,99.401,0,1,79.7005
2330,1724,0,100,0,1,80
2333,1724,0,100,0,1,80
2334,1724,0,100,0,1,80
2335,1724,0,100,0,1,80
2339,1724,0,100,0,1,80
2345,1724,0,99.6185,0,2,89.80925
2348,1724,0,99.851,0,1,79.9255
2353,1724,0,100,0,1,80
2354,1724,0,100,0,1,80
2357,1724,0,99.831,0,1,79.9155
2358,1724,0,100,0,3,100
2362,1724,0,100,0,1,80
2368,1724,0,100,0,1,80
2369,1724,0,100,0,1,80
2375,1724,0,97.8835,0,2,88.94175
2380,1724,0,100,0,1,80
2385,1724,0,99.568,0,1,79.784
2389,1724,0,98.972,0,1,79.486
2393,1724,0,100,0,1,80
2401,1724,0,100,0,1,80
2402,1724,0,99.771,0,2,89.8855
