configno,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
406,yes,TRUE,FALSE,FALSE,0.1,0.1,0
407,yes,TRUE,FALSE,FALSE,0.1,0.1,0.1
408,yes,TRUE,FALSE,FALSE,0.1,0.1,0.5
409,yes,TRUE,FALSE,FALSE,0.1,0.1,20
410,yes,TRUE,FALSE,FALSE,0.1,0.1,100
411,yes,TRUE,FALSE,FALSE,0.1,0.5,0
412,yes,TRUE,FALSE,FALSE,0.1,0.5,0.1
413,yes,TRUE,FALSE,FALSE,0.1,0.5,0.5
414,yes,TRUE,FALSE,FALSE,0.1,0.5,20
415,yes,TRUE,FALSE,FALSE,0.1,0.5,100
416,yes,TRUE,FALSE,FALSE,0.1,10,0
417,yes,TRUE,FALSE,FALSE,0.1,10,0.1
418,yes,TRUE,FALSE,FALSE,0.1,10,0.5
419,yes,TRUE,FALSE,FALSE,0.1,10,20
420,yes,TRUE,FALSE,FALSE,0.1,10,100
421,yes,TRUE,FALSE,FALSE,0.1,100,0
422,yes,TRUE,FALSE,FALSE,0.1,100,0.1
423,yes,TRUE,FALSE,FALSE,0.1,100,0.5
424,yes,TRUE,FALSE,FALSE,0.1,100,20
425,yes,TRUE,FALSE,FALSE,0.1,100,100
426,yes,TRUE,FALSE,FALSE,0.5,0,0
427,yes,TRUE,FALSE,FALSE,0.5,0,0.1
428,yes,TRUE,FALSE,FALSE,0.5,0,0.5
429,yes,TRUE,FALSE,FALSE,0.5,0,20
430,yes,TRUE,FALSE,FALSE,0.5,0,100
431,yes,TRUE,FALSE,FALSE,0.5,0.1,0
432,yes,TRUE,FALSE,FALSE,0.5,0.1,0.1
433,yes,TRUE,FALSE,FALSE,0.5,0.1,0.5
434,yes,TRUE,FALSE,FALSE,0.5,0.1,20
435,yes,TRUE,FALSE,FALSE,0.5,0.1,100
436,yes,TRUE,FALSE,FALSE,0.5,0.5,0
437,yes,TRUE,FALSE,FALSE,0.5,0.5,0.1
438,yes,TRUE,FALSE,FALSE,0.5,0.5,0.5
439,yes,TRUE,FALSE,FALSE,0.5,0.5,20
440,yes,TRUE,FALSE,FALSE,0.5,0.5,100
441,yes,TRUE,FALSE,FALSE,0.5,10,0
442,yes,TRUE,FALSE,FALSE,0.5,10,0.1
443,yes,TRUE,FALSE,FALSE,0.5,10,0.5
444,yes,TRUE,FALSE,FALSE,0.5,10,20
445,yes,TRUE,FALSE,FALSE,0.5,10,100
446,yes,TRUE,FALSE,FALSE,0.5,100,0
447,yes,TRUE,FALSE,FALSE,0.5,100,0.1
448,yes,TRUE,FALSE,FALSE,0.5,100,0.5
449,yes,TRUE,FALSE,FALSE,0.5,100,20
450,yes,TRUE,FALSE,FALSE,0.5,100,100
451,yes,TRUE,FALSE,FALSE,30,0,0
452,yes,TRUE,FALSE,FALSE,30,0,0.1
453,yes,TRUE,FALSE,FALSE,30,0,0.5
454,yes,TRUE,FALSE,FALSE,30,0,20
455,yes,TRUE,FALSE,FALSE,30,0,100
456,yes,TRUE,FALSE,FALSE,30,0.1,0
457,yes,TRUE,FALSE,FALSE,30,0.1,0.1
458,yes,TRUE,FALSE,FALSE,30,0.1,0.5
459,yes,TRUE,FALSE,FALSE,30,0.1,20
460,yes,TRUE,FALSE,FALSE,30,0.1,100
461,yes,TRUE,FALSE,FALSE,30,0.5,0
462,yes,TRUE,FALSE,FALSE,30,0.5,0.1
463,yes,TRUE,FALSE,FALSE,30,0.5,0.5
464,yes,TRUE,FALSE,FALSE,30,0.5,20
465,yes,TRUE,FALSE,FALSE,30,0.5,100
466,yes,TRUE,FALSE,FALSE,30,10,0
467,yes,TRUE,FALSE,FALSE,30,10,0.1
468,yes,TRUE,FALSE,FALSE,30,10,0.5
469,yes,TRUE,FALSE,FALSE,30,10,20
470,yes,TRUE,FALSE,FALSE,30,10,100
471,yes,TRUE,FALSE,FALSE,30,100,0
472,yes,TRUE,FALSE,FALSE,30,100,0.1
473,yes,TRUE,FALSE,FALSE,30,100,0.5
474,yes,TRUE,FALSE,FALSE,30,100,20
475,yes,TRUE,FALSE,FALSE,30,100,100
476,yes,TRUE,FALSE,FALSE,100,0,0
477,yes,TRUE,FALSE,FALSE,100,0,0.1
478,yes,TRUE,FALSE,FALSE,100,0,0.5
479,yes,TRUE,FALSE,FALSE,100,0,20
480,yes,TRUE,FALSE,FALSE,100,0,100
481,yes,TRUE,FALSE,FALSE,100,0.1,0
482,yes,TRUE,FALSE,FALSE,100,0.1,0.1
483,yes,TRUE,FALSE,FALSE,100,0.1,0.5
